original_risk,predicted_risk,hybrid_score
,Low,0.582
,Medium,0.516
,Medium,0.51
,Informational,0.28
,Low,0.513
,Low,0.33
,Low,0.441
,Low,0.63
,Low,0.513
,Low,0.504
,Low,0.63
,Medium,0.336
,Low,0.624
,Medium,0.33
,Medium,0.522
,Low,0.513
,Low,0.438
,Low,0.63
,Low,0.513
,Low,0.63
,Medium,0.546
,Medium,0.459
,Medium,0.546
,Medium,0.519
,Medium,0.522
,Medium,0.522
,Medium,0.51
,Medium,0.3463
,Low,0.513
,Informational,0.289
,Low,0.513
,Low,0.438
,Low,0.63
,Informational,0.289
,Low,0.438
,Low,0.63
,Low,0.507
,Low,0.438
,Low,0.627
,Informational,0.529
,Medium,0.4637
,Low,0.501
,Medium,0.3534
,Low,0.63
,Low,0.576
,Medium,0.4125
,Medium,0.4624
,Low,0.5079
,Low,0.63
,Low,0.576
,Medium,0.3554
,Medium,0.414
,Medium,0.54
,Low,0.5103
,Low,0.63
,Low,0.576
,Low,0.513
,Low,0.438
,Low,0.63
,Medium,0.498
,Low,0.492
,Low,0.435
,Low,0.591
,Low,0.516
,Low,0.441
,Low,0.63
,Informational,0.568
,Medium,0.537
,Medium,0.501
,Low,0.492
,Low,0.435
,Low,0.588
,Medium,0.4657
,Medium,0.3683
,Medium,0.4141
,Medium,0.585
,Low,0.5226
,Medium,0.492
,Low,0.6405
,Low,0.5892
,Low,0.477
,Low,0.441
,Low,0.524
,Low,0.567
,Low,0.5909
,Low,0.6267
,Medium,0.3694
,Informational,0.3751
,Low,0.519
,Low,0.438
,Low,0.63
,Low,0.5139
,Low,0.5764
,High,0.4675
,High,0.3742
,Low,0.3407
,Low,0.3283
,High,0.4772
,High,0.425
,High,0.425
,High,0.4259
,High,0.4857
,High,0.4857
,Informational,0.336
,Informational,0.5392
,Informational,0.5654
,Informational,0.553
,Informational,0.5654
,Informational,0.5636
,Informational,0.586
,Informational,0.5654
,Informational,0.541
,Informational,0.556
,Informational,0.553
,Informational,0.5654
,Informational,0.5636
,Informational,0.586
,Informational,0.541
,Informational,0.5654
,Informational,0.556
,Informational,0.553
,Informational,0.5654
,Informational,0.5636
,Informational,0.586
,Informational,0.541
,Informational,0.5654
,Informational,0.556
,Informational,0.586
,Informational,0.553
,Informational,0.5654
,Informational,0.5636
,Informational,0.586
,Informational,0.541
,Informational,0.5654
,Informational,0.556
,Informational,0.586
,Informational,0.553
,Informational,0.5654
,Informational,0.586
,Informational,0.5636
,Informational,0.541
,Informational,0.5654
,Informational,0.556
,Informational,0.586
,Informational,0.553
,Informational,0.5654
,Informational,0.586
,Informational,0.5636
,Informational,0.541
,Informational,0.556
,Informational,0.586
,Informational,0.553
,Informational,0.56
,Informational,0.5636
,Informational,0.541
,Informational,0.556
,Informational,0.56
,Informational,0.56
,Informational,0.544
,Informational,0.5636
,Informational,0.541
,Informational,0.556
,Informational,0.56
,Informational,0.56
,Informational,0.544
,Informational,0.541
,Informational,0.5636
,Informational,0.556
,Informational,0.56
,Informational,0.56
,Informational,0.544
,Informational,0.541
,Informational,0.5636
,Informational,0.556
,Informational,0.56
,Informational,0.56
,Informational,0.544
,Informational,0.541
,Informational,0.5636
,Informational,0.556
,Informational,0.56
,Informational,0.56
,Informational,0.544
,Informational,0.541
,Informational,0.5636
,Informational,0.556
,Informational,0.544
,Informational,0.544
,Informational,0.544
,Informational,0.544
,Informational,0.544
,Informational,0.544
,Informational,0.544
