alert_name,risk,confidence,cweid,method,url_length,predicted_risk
0,Medium,0,693,0,22,2
2,Medium,2,264,0,22,2
1,Low,2,829,0,22,1
1,Low,2,829,0,22,1
4,Informational,2,-1,0,22,0
5,Low,1,497,0,22,1
5,Low,1,497,0,22,1
5,Low,1,497,0,22,1
2,Medium,2,264,0,32,2
0,Medium,0,693,0,21,2
2,Medium,2,264,0,21,2
1,Low,2,829,0,21,1
1,Low,2,829,0,21,1
0,Medium,0,693,0,33,2
2,Medium,2,264,0,33,2
4,Informational,2,-1,0,21,0
1,Low,2,829,0,33,1
1,Low,2,829,0,33,1
4,Informational,2,-1,0,33,0
5,Low,1,497,0,21,1
5,Low,1,497,0,21,1
5,Low,1,497,0,21,1
5,Low,1,497,0,33,1
5,Low,1,497,0,33,1
5,Low,1,497,0,33,1
2,Medium,2,264,0,50,2
2,Medium,2,264,0,32,2
2,Medium,2,264,0,34,2
2,Medium,2,264,0,32,2
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
5,Low,1,497,0,32,1
2,Medium,2,264,0,29,2
3,Informational,1,615,0,29,0
5,Low,1,497,0,29,1
2,Medium,2,264,0,31,2
3,Informational,1,615,0,31,0
0,Medium,0,693,0,45,2
0,Medium,0,693,0,25,2
2,Medium,2,264,0,45,2
2,Medium,2,264,0,25,2
2,Medium,2,264,0,41,2
0,Medium,0,693,0,36,2
2,Medium,2,264,0,36,2
0,Medium,0,693,0,37,2
2,Medium,2,264,0,37,2
2,Medium,2,264,0,47,2
2,Medium,2,264,0,51,2
2,Medium,2,264,0,34,2
0,Medium,0,693,0,47,2
2,Medium,2,264,0,47,2
0,Medium,0,693,0,42,2
2,Medium,2,264,0,42,2
0,Medium,0,693,0,47,2
2,Medium,2,264,0,47,2
0,Medium,0,693,0,75,2
2,Medium,2,264,0,75,2
1,Low,2,829,0,75,1
1,Low,2,829,0,75,1
4,Informational,2,-1,0,75,0
5,Low,1,497,0,75,1
5,Low,1,497,0,75,1
